indicator.label,sex.label,classif1.label,classif2.label,time,obs_value
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): Total,2019,18724.541
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing,2019,6288.368
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): B. Mining and quarrying,2019,161.644
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): C. Manufacturing,2019,1283.218
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+","Economic activity (ISIC-Rev.4): D. Electricity; gas, steam and air conditioning supply",2019,16.395
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+","Economic activity (ISIC-Rev.4): E. Water supply; sewerage, waste management and remediation activities",2019,54.563
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): F. Construction,2019,1292.689
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,3772.01
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): H. Transportation and storage,2019,1127.341
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): I. Accommodation and food service activities,2019,690.49
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): J. Information and communication,2019,69.316
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): K. Financial and insurance activities,2019,190.434
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): L. Real estate activities,2019,58.892
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+","Economic activity (ISIC-Rev.4): M. Professional, scientific and technical activities",2019,129.92
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): N. Administrative and support service activities,2019,434.021
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): O. Public administration and defence; compulsory social security,2019,456.768
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): P. Education,2019,1143.239
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): Q. Human health and social work activities,2019,303.023
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+","Economic activity (ISIC-Rev.4): R. Arts, entertainment and recreation",2019,43.275
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): S. Other service activities,2019,553.029
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): T. Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2019,647.913
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): U. Activities of extraterritorial organizations and bodies,2019,
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15+",Economic activity (ISIC-Rev.4): X. Not elsewhere classified,2019,
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): Total,2019,17349.854
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing,2019,5491.538
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): B. Mining and quarrying,2019,148.804
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): C. Manufacturing,2019,1188.913
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64","Economic activity (ISIC-Rev.4): E. Water supply; sewerage, waste management and remediation activities",2019,52.392
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): F. Construction,2019,1229.528
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,3571.587
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): H. Transportation and storage,2019,1080.656
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): I. Accommodation and food service activities,2019,668.414
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): J. Information and communication,2019,69.008
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): K. Financial and insurance activities,2019,189.073
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): L. Real estate activities,2019,50.947
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64","Economic activity (ISIC-Rev.4): M. Professional, scientific and technical activities",2019,122.004
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): N. Administrative and support service activities,2019,414.292
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): O. Public administration and defence; compulsory social security,2019,437.875
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): P. Education,2019,1111.539
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): Q. Human health and social work activities,2019,288.028
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64","Economic activity (ISIC-Rev.4): R. Arts, entertainment and recreation",2019,41.724
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): S. Other service activities,2019,538.183
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Economic activity (ISIC-Rev.4): T. Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2019,631.833
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): Total,2019,3014.705
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing,2019,1056.74
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): B. Mining and quarrying,2019,26.266
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): C. Manufacturing,2019,204.13
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24","Economic activity (ISIC-Rev.4): D. Electricity; gas, steam and air conditioning supply",2019,
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24","Economic activity (ISIC-Rev.4): E. Water supply; sewerage, waste management and remediation activities",2019,11.28
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): F. Construction,2019,197.039
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,603.467
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): H. Transportation and storage,2019,165.8
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): I. Accommodation and food service activities,2019,131.299
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): J. Information and communication,2019,12.825
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): K. Financial and insurance activities,2019,30.5
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): L. Real estate activities,2019,3.312
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24","Economic activity (ISIC-Rev.4): M. Professional, scientific and technical activities",2019,15.04
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): N. Administrative and support service activities,2019,57.896
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): O. Public administration and defence; compulsory social security,2019,50.268
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): P. Education,2019,134.419
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): Q. Human health and social work activities,2019,43.619
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24","Economic activity (ISIC-Rev.4): R. Arts, entertainment and recreation",2019,8.399
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): S. Other service activities,2019,96.431
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): T. Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2019,161.84
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Economic activity (ISIC-Rev.4): X. Not elsewhere classified,2019,
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): Total,2019,15709.836
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing,2019,5231.628
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): B. Mining and quarrying,2019,135.378
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): C. Manufacturing,2019,1079.088
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+","Economic activity (ISIC-Rev.4): D. Electricity; gas, steam and air conditioning supply",2019,14.306
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+","Economic activity (ISIC-Rev.4): E. Water supply; sewerage, waste management and remediation activities",2019,43.284
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): F. Construction,2019,1095.65
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles,2019,3168.542
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): H. Transportation and storage,2019,961.541
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): I. Accommodation and food service activities,2019,559.192
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): J. Information and communication,2019,56.491
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): K. Financial and insurance activities,2019,159.934
"Employment by sex, age and economic activity (thousands)",Sex: Total,"Age (Youth, adults): 25+",Economic activity (ISIC-Rev.4): L. Real estate activities,2019,55.58
