indicator.label,sex,sex.label,classif1,classif1.label,classif2.label,time,obs_value
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2019,9805.109
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2019,1610.35
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2019,4998.213
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2019,2670.634
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2019,472.218
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2019,53.693
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2019,9104.751
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2019,1265.173
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2019,4732.433
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2019,2604.006
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2019,458.361
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2019,44.779
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2019,1613.832
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2019,192.978
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2019,912.575
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2019,480.223
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2019,25.81
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2019,2.245
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2019,8191.277
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2019,1417.372
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2019,4085.638
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2019,2190.411
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2019,446.408
"Employment by sex, age and education (thousands)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",Education (Aggregate levels): Level not stated,2019,51.449
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2019,8919.432
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2019,2016.583
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2019,5010.86
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2019,1573.703
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2019,288.703
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2019,29.584
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2019,8245.102
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2019,1484.217
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2019,4882.908
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2019,1565.765
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2019,286.982
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-64,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2019,25.231
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2019,1400.874
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2019,111.803
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2019,903.321
"Employment by sex, age and education (thousands)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2019,352.652
