indicator.label,sex.label,classif1.label,time,obs_value
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2024,57.193
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2024,6.661
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2024,58.297
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2024,11.648
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2023,57.228
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2023,6.667
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2023,58.196
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2023,11.607
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2022,57.349
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2022,6.698
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2022,58.126
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2022,11.682
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2021,58.036
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2021,7.098
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2021,58.395
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2021,12.436
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2020,57.93
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2020,7.883
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2020,58.456
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2020,13.634
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2019,57.54
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2019,7.032
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2019,58.043
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2019,12.788
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2018,56.142
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2018,6.876
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2018,57.463
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2018,13.34
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2017,54.779
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2017,6.685
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2017,56.906
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2017,13.838
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2016,53.445
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2016,6.499
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2016,56.361
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2016,14.283
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2015,53.436
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2015,6.567
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2015,55.928
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2015,14.453
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2014,53.419
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2014,6.538
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2014,55.503
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2014,14.569
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2013,53.401
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2013,6.452
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2013,55.079
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2013,14.642
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2012,53.38
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2012,6.316
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2012,54.655
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2012,14.677
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2011,53.355
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2011,6.134
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2011,54.234
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2011,14.68
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2010,53.328
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2010,5.95
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2010,53.813
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2010,14.68
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2009,53.31
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2009,5.808
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2009,53.383
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2009,14.698
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2008,53.295
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2008,5.7
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2008,52.948
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2008,14.74
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2007,53.277
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2007,5.61
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2007,52.517
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2007,14.809
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2006,53.255
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2006,5.547
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 15-24",2006,52.089
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Female,"Age (Youth, adults): 25+",2006,14.907
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 15-24",2005,53.231
"Inactivity rate by sex and age -- ILO modelled estimates, Nov. 2022 (%)",Sex: Male,"Age (Youth, adults): 25+",2005,5.537
