name,num_code,year,age,sex,population
Kenya,404,2015,15,female,341486.56
Kenya,404,2015,15,male,344435.68
Kenya,404,2015,16,female,499980.48
Kenya,404,2015,16,male,504210.88
Kenya,404,2015,17,female,598556.48
Kenya,404,2015,17,male,603517.28
Kenya,404,2015,18,female,598733.28
Kenya,404,2015,18,male,603542.88
Kenya,404,2015,19,female,535443.2
Kenya,404,2015,19,male,539493.28
Kenya,404,2015,20,female,498408.32
Kenya,404,2015,20,male,501251.68
Kenya,404,2015,21,female,445990.88
Kenya,404,2015,21,male,447859.2
Kenya,404,2015,22,female,408108.48
Kenya,404,2015,22,male,409039.2
Kenya,404,2015,23,female,401669.28
Kenya,404,2015,23,male,401828
Kenya,404,2015,24,female,414323.04
Kenya,404,2015,24,male,413821.92
Kenya,404,2015,25,female,416891.2
Kenya,404,2015,25,male,415650.88
Kenya,404,2015,26,female,415305.28
Kenya,404,2015,26,male,413272.8
Kenya,404,2015,27,female,411136.48
Kenya,404,2015,27,male,408460
Kenya,404,2015,28,female,402284.48
Kenya,404,2015,28,male,399189.6
Kenya,404,2015,29,female,390282.56
Kenya,404,2015,29,male,386926.72
Kenya,404,2015,30,female,378900.48
Kenya,404,2015,30,male,375288.32
Kenya,404,2015,31,female,367547.68
Kenya,404,2015,31,male,363705.76
Kenya,404,2015,32,female,355295.68
Kenya,404,2015,32,male,351256.16
Kenya,404,2015,33,female,342111.68
Kenya,404,2015,33,male,337891.36
Kenya,404,2015,34,female,328244.48
Kenya,404,2015,34,male,323858.4
Kenya,404,2015,35,female,314072.64
Kenya,404,2015,35,male,309525.92
Kenya,404,2016,15,female,350286.208
Kenya,404,2016,15,male,353537.312
Kenya,404,2016,16,female,512665.024
Kenya,404,2016,16,male,517351.264
Kenya,404,2016,17,female,613894.624
Kenya,404,2016,17,male,619363.904
Kenya,404,2016,18,female,614694.464
Kenya,404,2016,18,male,619903.744
Kenya,404,2016,19,female,550619.68
Kenya,404,2016,19,male,554863.776
Kenya,404,2016,20,female,515359.904
Kenya,404,2016,20,male,518348.64
Kenya,404,2016,21,female,463574.752
Kenya,404,2016,21,male,465440.288
Kenya,404,2016,22,female,425076.672
Kenya,404,2016,22,male,425932.288
Kenya,404,2016,23,female,416271.872
Kenya,404,2016,23,male,416411.008
Kenya,404,2016,24,female,425536.8
Kenya,404,2016,24,male,425147.776
Kenya,404,2016,25,female,424775.04
Kenya,404,2016,25,male,423756.992
Kenya,404,2016,26,female,419525.888
Kenya,404,2016,26,male,417831.104
Kenya,404,2016,27,female,413258.688
Kenya,404,2016,27,male,410969.984
Kenya,404,2016,28,female,404871.808
Kenya,404,2016,28,male,402106.784
Kenya,404,2016,29,female,394988.576
Kenya,404,2016,29,male,391835.136
Kenya,404,2016,30,female,385457.696
Kenya,404,2016,30,male,381934.4
Kenya,404,2016,31,female,376057.92
Kenya,404,2016,31,male,372191.36
Kenya,404,2016,32,female,365425.6
Kenya,404,2016,32,male,361256.16
Kenya,404,2016,33,female,353113.28
Kenya,404,2016,33,male,348679.36
Kenya,404,2016,34,female,339625.504
Kenya,404,2016,34,male,334958.72
Kenya,404,2016,35,female,326020.512
Kenya,404,2016,35,male,321126.272
Kenya,404,2017,15,female,359085.856
Kenya,404,2017,15,male,362638.944
Kenya,404,2017,16,female,525349.568
Kenya,404,2017,16,male,530491.648
Kenya,404,2017,17,female,629232.768
Kenya,404,2017,17,male,635210.528
Kenya,404,2017,18,female,630655.648
Kenya,404,2017,18,male,636264.608
Kenya,404,2017,19,female,565796.16
Kenya,404,2017,19,male,570234.272
Kenya,404,2017,20,female,532311.488
Kenya,404,2017,20,male,535445.6
Kenya,404,2017,21,female,481158.624
Kenya,404,2017,21,male,483021.376
Kenya,404,2017,22,female,442044.864
Kenya,404,2017,22,male,442825.376
Kenya,404,2017,23,female,430874.464
Kenya,404,2017,23,male,430994.016
Kenya,404,2017,24,female,436750.56
Kenya,404,2017,24,male,436473.632
Kenya,404,2017,25,female,432658.88
Kenya,404,2017,25,male,431863.104
Kenya,404,2017,26,female,423746.496
Kenya,404,2017,26,male,422389.408
Kenya,404,2017,27,female,415380.896
Kenya,404,2017,27,male,413479.968
Kenya,404,2017,28,female,407459.136
Kenya,404,2017,28,male,405023.968
Kenya,404,2017,29,female,399694.592
Kenya,404,2017,29,male,396743.552
Kenya,404,2017,30,female,392014.912
Kenya,404,2017,30,male,388580.48
Kenya,404,2017,31,female,384568.16
Kenya,404,2017,31,male,380676.96
Kenya,404,2017,32,female,375555.52
Kenya,404,2017,32,male,371256.16
Kenya,404,2017,33,female,364114.88
Kenya,404,2017,33,male,359467.36
Kenya,404,2017,34,female,351006.528
Kenya,404,2017,34,male,346059.04
Kenya,404,2017,35,female,337968.384
Kenya,404,2017,35,male,332726.624
Kenya,404,2018,15,female,367885.504
Kenya,404,2018,15,male,371740.576
Kenya,404,2018,16,female,538034.112
Kenya,404,2018,16,male,543632.032
Kenya,404,2018,17,female,644570.912
Kenya,404,2018,17,male,651057.152
Kenya,404,2018,18,female,646616.832
Kenya,404,2018,18,male,652625.472
Kenya,404,2018,19,female,580972.64
Kenya,404,2018,19,male,585604.768
Kenya,404,2018,20,female,549263.072
Kenya,404,2018,20,male,552542.56
Kenya,404,2018,21,female,498742.496
Kenya,404,2018,21,male,500602.464
Kenya,404,2018,22,female,459013.056
Kenya,404,2018,22,male,459718.464
Kenya,404,2018,23,female,445477.056
Kenya,404,2018,23,male,445577.024
Kenya,404,2018,24,female,447964.32
Kenya,404,2018,24,male,447799.488
Kenya,404,2018,25,female,440542.72
Kenya,404,2018,25,male,439969.216
Kenya,404,2018,26,female,427967.104
Kenya,404,2018,26,male,426947.712
Kenya,404,2018,27,female,417503.104
Kenya,404,2018,27,male,415989.952
Kenya,404,2018,28,female,410046.464
Kenya,404,2018,28,male,407941.152
Kenya,404,2018,29,female,404400.608
Kenya,404,2018,29,male,401651.968
Kenya,404,2018,30,female,398572.128
Kenya,404,2018,30,male,395226.56
Kenya,404,2018,31,female,393078.4
Kenya,404,2018,31,male,389162.56
Kenya,404,2018,32,female,385685.44
Kenya,404,2018,32,male,381256.16
Kenya,404,2018,33,female,375116.48
Kenya,404,2018,33,male,370255.36
Kenya,404,2018,34,female,362387.552
Kenya,404,2018,34,male,357159.36
Kenya,404,2018,35,female,349916.256
Kenya,404,2018,35,male,344326.976
Kenya,404,2019,15,female,376685.152
Kenya,404,2019,15,male,380842.208
Kenya,404,2019,16,female,550718.656
Kenya,404,2019,16,male,556772.416
Kenya,404,2019,17,female,659909.056
Kenya,404,2019,17,male,666903.776
Kenya,404,2019,18,female,662578.016
Kenya,404,2019,18,male,668986.336
Kenya,404,2019,19,female,596149.12
Kenya,404,2019,19,male,600975.264
Kenya,404,2019,20,female,566214.656
Kenya,404,2019,20,male,569639.52
Kenya,404,2019,21,female,516326.368
Kenya,404,2019,21,male,518183.552
Kenya,404,2019,22,female,475981.248
Kenya,404,2019,22,male,476611.552
Kenya,404,2019,23,female,460079.648
Kenya,404,2019,23,male,460160.032
Kenya,404,2019,24,female,459178.08
Kenya,404,2019,24,male,459125.344
Kenya,404,2019,25,female,448426.56
Kenya,404,2019,25,male,448075.328
Kenya,404,2019,26,female,432187.712
Kenya,404,2019,26,male,431506.016
